run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc
67,386.3,969.5,203,21,66,5.0,26.5,18.7,9.4,26.1,94,4,0,37,88.6,85.8
68,792.4,1417.1,102,38,327,19.5,286.0,2.0,26.7,21.5,67,0,0,20,88.7,34.2
69,704.2,26.9,162,24,100,9.8,136.0,6.4,8.6,35.9,34,2,1,22,69.9,81.0
70,-1379.4,-1624.4,201,23,148,3.7,260.5,11.9,17.1,32.7,25,3,2,6,76.3,47.6
71,-1287.4,-1042.7,142,24,119,17.1,238.7,38.5,36.0,29.9,15,4,0,0,32.0,80.4
72,-1577.7,-1635.9,202,0,133,6.6,147.9,36.4,23.0,28.8,35,0,0,31,72.9,56.8
73,-535.7,1036.1,148,16,24,15.5,253.4,31.2,10.8,13.8,75,2,1,4,46.6,34.5
74,-1323.0,-1644.5,142,39,233,2.0,293.4,38.7,39.7,4.7,3,1,0,5,76.9,93.7
75,605.0,-284.4,187,6,138,7.0,0.9,29.8,14.3,34.5,22,4,2,32,53.2,87.7
76,-229.8,-1026.6,101,16,167,22.8,81.8,34.1,20.3,17.3,51,4,1,27,63.4,97.8
77,1394.2,1329.4,163,36,258,26.6,138.8,28.9,33.6,35.5,100,1,0,38,58.2,40.4
78,1429.1,-8.2,143,10,239,0.5,118.9,34.6,37.0,28.6,58,4,2,4,39.6,42.8
79,-1567.0,1340.5,143,6,238,18.3,356.4,16.6,20.1,3.1,39,4,1,38,38.4,37.5
80,-1806.7,-312.4,165,18,88,8.9,292.0,22.1,39.4,19.3,50,1,0,40,40.5,78.6
81,-1325.7,-550.5,148,2,84,3.5,184.2,24.7,37.7,31.4,10,4,1,17,87.1,92.1
82,-799.7,-204.4,106,32,55,9.2,262.3,24.2,8.9,19.7,84,4,1,39,38.5,92.0
83,-526.6,-549.2,204,35,147,8.7,224.5,33.5,22.1,4.1,58,2,0,20,47.2,96.3
84,745.8,1146.2,108,6,158,24.8,267.2,33.3,17.0,18.4,47,0,0,28,73.6,58.2
85,1677.0,1041.9,148,39,142,16.5,238.8,29.1,25.7,40.0,46,0,0,40,43.7,94.5
86,-1883.2,-1047.9,148,17,248,6.7,201.0,31.5,32.8,29.3,42,1,0,38,65.2,45.1
87,-318.5,1250.2,149,26,40,5.2,120.9,9.1,19.4,8.5,63,0,0,34,48.4,86.0
88,-947.7,484.5,105,34,19,30.8,324.6,23.3,33.9,23.8,39,4,0,8,76.5,94.0
89,-1600.6,216.8,145,11,192,14.8,347.7,39.9,40.0,12.5,69,5,2,0,47.5,64.9
90,-1641.9,-1017.8,144,5,258,13.9,149.6,39.8,31.4,11.4,27,2,0,19,51.9,59.3
91,-1626.1,1518.1,165,10,58,30.4,90.8,24.2,28.9,18.8,89,0,0,4,84.0,44.3
92,1006.7,-1555.0,186,2,82,30.5,262.0,14.8,21.7,30.7,22,2,1,4,65.8,99.3
93,-274.8,1317.6,187,14,294,22.3,184.1,26.8,5.9,3.7,94,2,1,21,34.1,46.1
94,-1554.3,159.7,141,45,356,23.7,240.8,26.1,23.7,6.3,62,3,0,28,61.1,55.6
95,1612.9,-1659.9,106,42,337,2.4,334.5,5.5,6.6,23.3,38,2,0,18,76.0,32.7
96,-45.4,1016.8,108,29,252,10.5,192.9,9.7,3.0,29.1,95,0,0,13,70.1,58.4
97,1069.4,-1844.7,103,43,336,13.7,254.8,34.7,12.2,30.0,84,2,0,18,88.5,54.5
98,734.9,-910.4,164,36,303,9.0,263.5,37.3,25.7,5.1,30,1,0,24,96.4,83.4
99,922.6,1183.8,182,1,271,12.1,180.0,22.8,39.5,36.8,39,1,0,37,75.2,43.7
100,1604.4,621.1,201,4,252,24.4,132.1,21.0,39.0,14.9,84,0,0,12,92.5,45.6
101,314.9,19.4,143,16,331,18.3,239.3,24.7,13.2,3.5,75,0,0,7,68.2,50.1
102,-332.1,874.5,187,17,285,3.3,23.4,3.4,23.8,5.2,65,1,0,2,94.0,45.8
103,892.4,1479.4,185,5,333,0.5,133.8,27.2,2.0,21.4,69,5,1,10,45.9,47.7
104,1477.3,-482.3,163,3,339,6.7,6.4,19.7,21.0,16.6,1,5,1,15,80.9,71.3
105,1293.0,912.5,202,40,14,7.3,100.1,5.6,35.0,12.9,56,1,0,0,66.7,39.3
106,697.9,638.5,121,35,346,28.8,192.5,32.4,10.2,17.8,91,2,1,33,49.5,56.0
107,1442.4,954.7,188,19,194,23.5,239.5,12.0,33.9,2.9,18,5,1,6,91.8,76.4
108,1257.6,-608.7,183,28,304,1.1,321.6,7.0,22.0,33.6,54,2,0,28,69.2,62.7
109,-1872.3,1119.8,124,38,288,10.9,207.8,21.6,38.8,39.3,75,1,0,6,59.0,60.0
110,1744.6,-896.5,124,28,149,29.1,40.2,6.7,15.9,12.2,48,0,0,24,48.2,41.0
111,1247.0,-140.5,163,25,66,3.5,355.0,22.7,31.5,38.3,22,1,0,39,77.9,72.7
112,251.8,-104.1,103,27,84,30.0,160.7,5.5,11.2,38.3,100,1,0,33,37.9,65.3
113,-1835.9,1705.6,203,20,40,7.3,272.9,20.7,21.9,30.1,42,2,0,39,65.6,70.9
114,588.2,-574.2,123,16,101,24.1,301.7,37.2,23.3,23.9,45,1,0,7,80.1,64.9
115,1702.5,765.5,145,7,161,17.8,14.3,39.5,31.6,7.3,81,5,0,39,61.7,62.8
116,876.2,1125.2,123,17,115,26.7,209.5,11.6,4.6,30.2,53,5,2,30,94.3,73.9
117,-559.3,1610.6,186,28,52,5.4,221.1,37.7,14.8,29.3,58,1,0,0,98.1,90.9
118,659.0,668.4,121,15,21,12.1,38.9,6.1,33.9,30.1,88,3,2,29,58.3,95.7
119,-1697.2,-1240.2,124,43,32,20.9,62.1,5.4,16.6,35.3,64,2,1,29,93.1,30.1
120,-965.9,-1705.1,103,25,221,0.8,246.2,18.4,30.5,2.2,79,0,0,34,35.3,79.6
121,-1206.7,787.9,145,25,98,23.8,327.9,21.4,23.7,12.1,7,5,0,18,85.6,87.3
122,-1335.4,-717.9,181,37,227,29.0,317.3,14.9,5.0,12.9,29,3,2,25,37.8,81.1
123,-1007.5,-485.8,202,20,94,19.4,319.5,12.0,18.2,8.0,15,4,0,7,77.8,77.7
124,-649.0,471.8,256,30,301,5.2,234.8,13.9,9.4,18.8,65,5,0,21,56.6,57.3
125,-279.9,1408.4,105,37,125,5.8,184.3,10.4,31.7,33.7,80,0,0,31,76.5,92.9
126,-1783.6,-1387.3,106,32,275,0.5,211.3,39.2,24.0,7.1,75,5,2,22,67.7,70.7
127,-1741.3,306.8,149,9,50,10.3,319.2,22.6,33.4,14.2,43,3,2,25,40.3,85.8
128,-1734.8,-561.8,103,4,208,16.7,278.1,10.7,28.9,39.8,43,1,0,3,66.2,94.6
129,670.1,1901.5,162,8,27,2.4,75.3,4.7,38.5,6.9,41,4,2,17,51.2,63.6
130,1051.8,-876.5,122,26,10,30.3,129.6,37.7,3.4,25.8,58,5,2,9,44.0,98.3
131,278.8,-1632.1,165,30,298,19.7,170.8,31.5,17.6,30.4,4,2,1,36,50.3,77.1
132,889.0,1565.0,202,27,302,21.5,80.2,19.2,32.9,20.7,68,5,2,35,59.4,64.5
133,-626.4,1656.5,121,17,150,10.7,287.7,37.6,33.8,27.5,77,2,0,23,69.5,48.6
134,1761.9,-1087.4,124,42,356,11.8,1.0,5.2,26.4,10.7,50,5,0,5,78.0,41.5
135,753.4,224.2,124,16,236,10.8,0.8,25.6,31.5,28.9,37,2,1,34,65.2,61.2
136,989.5,-1679.9,107,14,303,4.1,331.1,3.2,16.2,12.7,68,2,0,11,52.4,99.6
137,1600.1,-1027.2,162,32,196,22.5,31.2,19.6,6.7,35.0,58,5,2,16,74.3,84.0
138,-1155.4,1089.0,105,42,165,2.8,15.9,3.8,39.9,22.3,81,4,0,32,77.3,44.3
139,-1019.6,-1530.3,201,17,215,23.4,74.5,6.5,5.9,37.2,8,1,0,17,66.9,33.0
140,-211.6,-1562.0,181,7,218,12.2,166.7,26.1,5.4,39.7,6,2,0,10,60.6,92.0
141,71.7,-1006.4,109,17,75,13.6,39.4,5.4,6.3,15.3,20,2,1,35,44.1,88.7
142,-290.0,-1724.2,162,43,168,3.5,70.6,14.8,5.8,38.6,17,3,1,38,39.1,79.2
143,-1759.3,-1258.9,201,16,270,28.0,102.7,26.9,11.3,33.9,91,2,0,20,62.2,68.4
144,88.7,1312.1,184,22,270,22.2,158.2,25.5,4.6,13.9,96,4,0,3,73.8,64.7
145,-480.9,-735.8,123,8,360,15.0,154.0,18.9,14.6,3.7,21,5,0,0,47.7,85.3
146,-508.3,-1626.7,186,2,156,22.2,75.4,22.1,4.0,18.8,13,3,0,17,94.4,90.4
147,-283.1,-1141.8,149,4,169,24.8,290.8,36.3,3.1,30.3,77,3,2,22,55.6,50.4
148,-1334.5,-1054.7,202,32,319,25.7,143.0,32.1,3.7,8.0,49,2,1,9,34.4,33.6
149,241.1,-380.1,203,26,162,8.4,102.5,22.2,37.6,16.7,43,5,1,18,68.2,96.3
150,-315.5,-1725.5,102,2,238,0.1,238.1,12.5,28.6,27.4,7,4,0,28,83.7,54.8
151,1310.6,1798.4,181,25,73,27.2,217.9,28.8,25.5,29.5,31,2,1,20,39.4,41.9
152,-950.1,912.4,186,28,225,18.2,299.1,11.2,39.2,21.3,53,4,0,17,69.8,56.1
153,991.0,1088.5,146,31,94,3.4,263.5,7.4,12.5,14.0,74,1,0,30,63.5,59.9
154,-1389.2,-349.0,104,18,123,27.6,97.5,19.3,16.1,25.9,69,4,2,6,82.9,75.0
155,1256.2,-1896.1,105,10,146,6.0,32.1,29.2,5.3,10.3,69,2,0,33,74.7,44.8
156,-659.4,-204.2,108,32,58,19.8,75.3,20.7,31.4,8.7,92,5,1,15,35.2,59.9
157,476.2,-409.6,163,11,16,15.2,75.3,35.6,38.1,31.9,63,4,0,33,83.7,96.5
158,-1220.9,701.2,165,3,95,6.0,135.5,38.9,32.5,30.7,47,3,2,24,74.2,70.1
159,-1579.0,1075.9,145,30,299,16.6,188.0,24.8,39.6,20.7,0,2,0,11,33.2,90.6
160,-606.9,1858.4,103,22,20,22.9,251.9,15.5,22.5,4.1,25,4,2,37,58.1,67.5
161,1694.6,250.7,188,44,343,24.0,93.6,19.1,32.8,5.8,49,0,0,26,90.6,86.1
162,738.9,942.0,101,26,77,27.5,19.4,24.5,38.3,15.0,24,2,0,10,93.5,98.5
163,-891.1,-2.2,188,3,79,3.7,17.0,4.3,2.0,7.3,72,3,1,9,59.1,48.5
164,723.9,-651.5,188,41,245,21.2,159.4,27.8,11.1,6.6,50,0,0,27,89.2,80.4
165,1027.8,221.2,165,13,62,11.4,310.8,36.8,4.0,6.5,14,2,1,33,40.6,80.5
166,101.8,733.7,188,20,175,10.9,143.7,17.5,34.4,34.9,85,3,0,29,47.5,53.5
167,-999.8,1666.2,188,29,250,28.3,44.5,18.8,15.7,2.4,78,1,0,39,42.9,98.4
168,341.1,-509.4,103,35,83,26.7,96.6,10.0,2.2,15.9,8,3,0,28,65.2,41.9
169,-826.4,86.7,182,45,182,24.3,20.2,30.9,27.4,19.3,100,1,0,35,95.1,83.9
170,-943.6,709.7,106,20,279,25.8,228.0,26.8,3.9,38.5,32,0,0,23,85.3,42.0
171,-441.0,-1322.9,162,4,207,25.3,24.6,3.4,32.1,12.7,58,4,0,24,32.3,97.8
172,-1806.6,325.3,149,1,134,3.9,105.1,5.8,14.3,19.6,10,1,0,33,82.9,50.8
173,1326.9,-1551.0,122,27,330,19.9,147.7,18.9,38.7,5.8,17,1,0,9,59.6,94.2
174,1248.1,-854.3,109,41,189,24.4,63.9,27.8,31.9,11.9,47,2,1,28,82.7,33.3
175,-1557.3,1150.4,184,19,15,20.0,228.6,20.3,2.5,18.7,42,5,1,1,37.9,81.4
176,-1594.4,1707.4,149,18,344,0.4,319.7,8.5,34.4,22.1,69,0,0,29,51.5,82.4
177,27.8,869.2,108,15,185,13.8,183.2,21.3,34.4,21.7,32,1,0,20,43.7,80.0
178,-409.3,1233.5,122,43,91,30.4,260.9,24.0,14.3,25.4,3,4,1,1,64.4,47.1
179,1260.2,-931.4,164,32,60,0.0,230.3,27.0,14.1,13.6,7,0,0,31,48.0,31.1
180,-658.5,371.5,184,43,315,6.6,252.5,15.9,13.4,31.9,30,1,0,30,69.2,72.0
181,1590.0,-1135.3,202,8,174,10.3,299.8,25.3,39.4,21.7,72,4,0,40,88.2,74.0
182,513.2,921.5,162,1,346,30.4,352.0,5.0,17.5,11.8,40,3,2,12,68.0,67.4
183,644.0,1473.0,147,38,26,16.3,65.1,32.7,27.6,7.2,2,4,0,24,61.0,87.9
184,1385.1,-1534.4,162,25,286,15.5,47.7,21.9,19.4,29.0,24,0,0,8,64.4,55.1
185,-1752.0,417.5,108,42,46,16.3,285.7,4.6,25.0,11.5,57,4,0,5,59.7,99.9
186,1750.2,1684.7,145,6,196,26.9,312.6,6.5,33.8,25.8,12,4,0,34,57.0,66.9
187,1364.0,1792.4,124,36,10,20.5,97.1,8.7,22.9,2.8,60,0,0,25,60.1,55.0
188,694.3,-1399.9,164,29,360,2.0,231.6,14.7,32.4,32.8,47,5,1,3,34.3,84.5
189,1880.3,-1179.2,123,14,190,13.8,317.4,22.3,24.5,30.0,56,3,1,18,86.7,83.1
190,-554.2,304.7,181,28,316,2.6,283.0,18.9,6.3,5.9,47,3,1,14,69.0,93.8
191,-127.9,470.9,185,16,357,3.4,267.9,24.1,19.0,37.2,32,4,0,1,56.4,85.0
192,893.6,181.2,142,38,47,23.9,332.6,34.6,7.4,24.5,33,0,0,30,38.1,74.0
193,1825.2,1846.8,184,31,157,2.7,144.4,9.6,15.4,33.2,10,2,1,35,34.1,91.6
194,223.1,1040.8,123,14,336,25.6,206.0,12.0,27.0,32.2,60,3,0,24,74.7,79.0
195,974.4,1705.0,187,16,300,27.2,263.4,16.7,25.0,9.4,61,4,1,35,89.2,50.2
196,1153.2,1342.3,202,24,190,5.5,5.1,19.3,39.6,36.2,88,0,0,7,32.9,91.5
197,1768.6,611.3,188,15,125,24.5,317.6,39.1,35.0,11.2,43,4,1,4,39.5,55.7
198,81.2,-1584.1,161,12,258,1.0,200.0,35.1,31.1,32.4,80,0,0,29,47.7,64.4
199,765.4,-780.1,108,45,166,25.3,336.9,30.0,31.3,21.8,68,0,0,22,88.0,34.0
200,-20.7,253.3,123,30,163,27.1,179.5,38.9,33.2,13.4,69,3,1,18,39.8,65.8
201,834.6,-36.7,123,5,179,25.4,87.3,24.1,39.0,11.0,85,4,1,18,30.3,37.3
202,1029.9,1635.6,144,30,246,14.9,73.6,37.9,22.5,5.5,33,1,0,9,75.7,49.7
203,1302.7,-869.6,149,32,349,8.8,187.7,30.3,19.7,30.2,81,3,0,34,86.8,38.6
204,1807.3,-1262.0,143,40,138,19.5,301.7,37.6,15.4,6.3,84,2,1,8,75.7,71.0
205,134.8,-799.5,189,41,287,9.9,230.5,31.0,7.0,6.4,36,3,1,22,97.9,85.6
206,-1464.0,-811.8,124,14,51,16.7,74.5,13.8,3.3,25.9,42,5,2,25,80.7,70.2
207,1259.3,1122.4,108,18,288,1.6,264.7,25.9,24.4,5.4,18,3,0,38,36.6,44.6
208,-1511.7,-377.4,185,41,199,9.9,188.7,37.8,14.2,20.0,90,2,1,11,62.2,82.4
209,280.3,402.2,184,16,32,8.2,49.8,29.0,16.4,34.6,59,4,1,17,82.1,73.2
210,193.8,-1374.6,147,11,223,29.9,5.5,30.6,29.0,18.0,37,1,0,10,61.2,80.1
211,-1748.5,346.5,187,7,298,21.0,165.2,4.0,12.8,2.7,90,0,0,12,73.5,79.0
212,-1246.5,-1295.2,107,23,352,25.6,172.5,3.0,20.4,7.8,83,3,0,22,56.2,95.9
213,-536.7,-1614.8,165,3,148,29.0,286.7,33.4,13.7,20.0,77,1,0,12,81.7,62.7
214,-70.2,1841.5,181,37,104,6.3,90.8,20.1,37.3,8.0,49,1,0,34,75.3,67.0
215,-149.1,-1195.1,102,7,106,7.8,237.6,6.1,6.6,6.0,79,4,1,26,32.7,74.8
216,-1214.6,-733.1,124,21,125,14.3,214.4,7.7,8.7,15.8,38,4,1,35,44.1,92.0
217,1047.6,-646.1,104,7,118,28.6,283.5,31.3,8.0,16.8,1,4,0,14,45.7,41.4
218,-1592.7,-1633.6,105,5,316,28.9,101.8,38.8,32.0,36.3,14,5,1,40,47.9,68.9
219,1758.2,59.7,108,45,127,3.6,356.6,35.2,9.1,39.4,86,3,0,28,58.4,57.0
220,1364.9,-1499.5,121,25,220,22.0,251.0,23.9,26.8,20.2,26,0,0,6,66.8,83.3
221,-969.0,1854.1,164,23,84,7.4,274.8,34.4,28.6,5.4,55,4,0,32,76.1,69.3
222,1191.0,95.8,165,14,19,11.1,40.4,7.4,31.3,39.1,90,4,0,3,65.2,93.3
223,754.1,590.4,204,30,335,17.6,161.9,20.2,29.2,32.0,25,1,0,2,59.8,90.0
224,823.3,-1026.3,109,42,89,23.4,328.3,4.0,2.7,20.4,28,4,1,12,37.3,50.8
225,410.1,-221.2,164,38,53,2.4,267.2,28.4,38.8,34.7,70,5,0,16,60.9,61.6
226,1395.8,1023.0,204,34,94,7.8,140.9,10.9,17.1,39.1,59,5,1,8,55.0,88.6
227,413.4,1154.3,186,23,169,2.9,289.3,25.6,36.8,38.1,32,4,0,36,83.8,54.7
228,-2.5,-1544.0,202,2,142,30.3,97.0,36.2,26.1,19.8,35,0,0,38,69.1,40.5
229,1449.0,1892.0,146,26,12,9.0,7.3,4.4,15.3,20.2,27,0,0,18,53.6,77.4
230,26.0,-308.1,184,33,188,15.3,38.1,15.6,36.8,4.4,38,5,2,36,99.2,30.2
231,-1893.1,-1308.9,165,36,159,9.5,68.6,34.6,6.7,28.4,52,0,0,0,32.7,33.9
232,1485.9,1474.8,141,12,132,11.4,199.2,21.5,28.5,4.7,58,2,0,10,57.5,37.6
233,768.7,220.4,121,26,48,13.3,82.7,23.2,24.0,25.4,84,3,1,22,42.2,91.1
234,1712.6,-1259.2,104,10,173,21.7,294.4,36.1,38.1,17.0,81,0,0,32,40.0,38.6
235,1204.9,-629.3,145,11,235,22.0,191.7,13.7,2.5,6.9,16,2,0,34,72.6,83.7
236,383.6,-1632.5,147,16,303,15.2,297.7,35.5,9.1,23.4,74,2,0,31,75.0,35.5
237,-1444.8,-1719.3,148,0,203,5.8,289.4,25.9,35.7,29.5,64,5,0,23,76.2,30.9
238,-1618.7,-224.8,203,22,0,6.3,234.3,21.4,21.7,7.8,21,0,0,23,63.0,32.4
239,-1379.2,-997.0,181,4,285,30.5,13.0,9.0,11.8,29.1,72,3,1,37,54.6,76.5
240,-1895.9,1594.5,124,34,325,25.7,163.4,9.9,19.4,14.7,76,5,2,2,95.6,61.6
241,-1791.5,-1850.8,201,26,149,11.6,260.2,24.1,27.7,11.3,28,0,0,28,52.8,66.7
242,1383.4,91.0,165,38,334,26.2,297.5,24.8,29.7,39.1,34,3,2,0,80.0,94.1
243,1835.2,622.7,144,27,14,23.7,43.4,22.4,32.4,27.1,49,0,0,0,54.4,46.1
244,-1607.6,113.1,203,32,138,14.0,157.4,4.5,35.6,33.8,1,2,1,18,31.5,85.4
245,1613.6,-1798.1,105,2,339,12.5,235.9,10.8,12.1,15.2,37,0,0,23,64.0,62.1
246,-1628.5,74.3,203,32,248,16.0,326.2,22.8,30.0,10.6,76,0,0,11,38.9,63.0
247,-1664.4,1223.3,124,18,125,0.7,102.9,35.0,22.4,17.0,65,4,0,23,36.4,66.5
248,-495.1,-66.5,182,41,75,19.3,60.0,25.7,9.1,23.0,59,3,1,13,91.1,33.1
249,192.8,598.3,186,1,64,28.1,32.5,39.3,7.2,9.7,0,4,1,30,44.3,47.1
250,-1311.1,-497.5,202,29,327,25.1,359.9,27.7,38.7,15.8,38,2,0,38,44.7,86.7
251,973.5,1807.7,145,40,194,12.8,158.3,29.3,13.1,29.0,62,3,1,18,42.2,33.2
252,-40.2,1655.4,105,22,172,26.3,254.4,6.0,17.7,7.4,66,2,1,13,48.7,35.0
253,-1119.5,-767.1,204,14,339,18.1,62.2,31.7,27.0,6.0,59,0,0,19,31.3,90.4
254,204.7,-127.1,189,15,89,2.6,11.1,16.9,9.2,11.7,95,1,0,6,32.0,31.3
255,-1808.4,-1267.7,204,35,207,29.1,44.9,12.9,24.9,19.2,75,3,0,30,86.4,64.9
256,1289.9,-1822.5,165,33,254,11.6,166.7,29.6,2.5,6.1,17,1,0,39,81.4,71.2
