run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
22,577.5,-1907.3,12,36,151,6.9,45.8,16.3,36.3,7.5,98,0,0,29,66.2,81.4,0.0
23,1917.2,-1227.0,27,16,337,10.7,233.9,35.7,15.2,28.0,69,5,1,3,49.0,55.7,0.0
24,-1229.1,-175.2,3,32,75,29.9,31.4,11.9,13.3,15.1,81,4,1,0,74.4,75.5,3419.5
25,52.3,954.7,2,9,310,7.0,255.1,23.4,28.7,8.3,0,0,0,22,74.8,53.1,0.2
26,59.3,405.6,17,17,327,0.9,315.5,33.2,20.8,35.0,14,3,2,2,81.0,34.4,0.0
27,1623.1,155.5,35,43,16,26.4,50.0,32.8,16.6,23.8,96,0,0,7,39.0,60.4,0.0
28,1427.9,1427.5,27,42,86,12.6,126.6,26.5,6.3,20.6,73,0,0,7,36.5,87.1,0.0
29,1316.0,-654.8,20,33,287,2.0,127.5,23.0,38.8,39.1,20,4,2,39,95.1,41.7,0.0
30,1109.2,400.6,28,16,15,23.4,89.4,26.1,24.3,29.4,18,3,2,10,65.7,38.4,0.0
31,-170.0,-1416.3,21,4,266,13.6,176.8,20.7,31.4,26.0,65,0,0,36,95.8,82.5,0.0
32,-1760.9,1510.7,25,13,226,2.7,71.5,24.4,22.0,3.3,53,0,0,0,42.2,52.9,0.0
33,-1730.3,1739.8,19,8,31,30.8,12.0,3.1,12.6,24.2,1,4,1,25,91.0,81.7,0.0
34,-164.7,713.3,13,0,153,24.3,36.8,11.5,22.6,19.1,87,0,0,0,34.9,80.1,2405.2
35,610.5,811.0,25,18,338,4.7,31.5,11.0,13.4,8.2,35,1,0,2,62.2,71.2,0.0
36,-899.0,-475.7,5,34,186,22.1,190.2,21.2,14.4,29.6,16,0,0,22,97.3,31.7,0.2
37,1346.4,-1696.2,10,12,313,26.2,201.5,9.7,32.9,15.4,89,2,0,15,93.1,56.6,2044.3
38,926.9,-1024.2,18,35,15,19.5,30.3,12.2,31.9,3.8,85,2,1,32,91.4,41.2,0.0
39,121.9,1127.8,34,19,82,1.5,135.2,15.1,36.2,7.2,40,2,0,14,45.4,77.7,0.0
40,-1494.5,298.6,15,21,208,3.5,350.6,34.9,27.1,5.8,54,3,0,7,92.0,99.6,0.2
41,-1597.7,-1571.7,34,2,247,3.2,251.3,5.2,9.7,16.6,0,5,0,35,92.1,59.9,0.0
42,-90.0,1160.8,13,17,355,21.4,346.1,11.4,36.6,38.2,12,5,2,24,82.4,83.4,1270.3
43,-1049.9,866.8,2,16,205,16.7,113.8,3.8,14.5,25.5,40,4,0,26,69.7,63.4,1305.0
44,-308.8,1784.6,18,0,359,12.6,12.7,14.4,2.4,14.4,16,2,0,1,67.8,87.4,0.0
45,1030.8,-701.8,20,27,178,6.6,289.2,13.5,10.4,18.9,32,4,2,33,97.7,43.1,0.0
46,333.3,655.4,25,14,4,7.8,111.0,38.4,27.6,28.8,22,1,0,17,73.9,44.9,0.0
47,470.3,-681.1,11,0,218,6.9,319.3,36.5,9.5,28.4,34,1,0,23,63.0,71.0,0.2
48,-1760.7,-747.4,7,10,280,25.5,108.0,15.7,30.6,14.0,88,5,0,5,44.6,43.6,366.1
49,-445.2,777.7,22,15,53,14.9,37.9,21.4,13.9,13.9,32,5,2,40,40.8,30.3,0.0
50,-623.8,-894.2,32,2,87,23.5,50.7,21.6,11.7,25.2,41,4,1,21,62.7,94.9,0.0
51,623.1,1368.9,17,16,74,30.8,293.2,8.6,23.2,5.5,86,0,0,25,93.6,63.0,0.0
52,1184.3,-930.3,15,7,358,13.5,167.7,11.1,22.0,16.9,35,3,0,12,62.3,84.8,130.5
53,-1292.5,-1201.8,30,9,295,25.8,340.0,34.0,23.4,39.8,50,3,1,0,62.7,58.2,0.0
54,1209.9,380.5,24,28,327,24.7,321.2,34.5,10.9,18.0,24,5,0,39,86.9,79.9,0.0
55,-1346.3,-698.5,29,11,52,25.8,215.0,18.9,2.3,27.0,77,0,0,27,87.6,46.6,0.0
56,-460.5,-1055.6,16,28,197,18.1,5.9,3.5,8.5,8.1,40,5,2,39,94.5,45.9,0.0
57,-1530.8,516.1,6,22,229,3.9,357.8,25.3,38.7,38.6,10,0,0,17,51.0,95.9,0.2
58,-883.4,-1896.6,37,23,52,14.0,171.0,15.1,3.8,18.8,65,0,0,31,82.9,89.5,0.0
59,-1811.1,-1808.5,25,36,111,19.9,240.4,19.3,19.7,21.3,21,4,2,16,36.4,32.4,0.0
60,-891.7,-1679.6,31,25,328,0.4,73.1,17.9,32.3,18.4,70,0,0,4,73.9,76.1,0.0
61,-206.0,1400.2,16,20,341,15.1,41.6,3.3,34.2,9.8,14,3,2,21,71.0,90.5,0.0
62,-346.8,83.2,1,10,313,14.5,347.5,5.1,12.6,33.5,45,4,0,35,71.1,38.1,3419.1
63,-953.7,1146.2,26,3,266,23.8,140.3,27.2,17.9,8.1,15,3,1,17,41.3,68.3,0.0
64,680.8,-150.0,12,43,253,29.4,228.7,15.7,21.6,27.4,33,2,0,4,61.5,66.7,245.1
65,-280.8,-1738.3,33,8,36,21.6,5.7,38.3,13.2,4.1,1,2,1,8,78.0,90.0,0.0
66,-470.0,-71.0,18,16,276,2.9,264.0,32.7,13.2,4.5,83,2,0,32,81.4,95.7,0.0
67,-278.7,-1865.6,6,8,119,29.8,164.3,34.7,15.0,26.6,91,1,0,13,64.8,78.7,0.0
68,-53.0,473.8,18,30,260,0.5,309.8,4.9,24.3,12.6,30,3,2,27,90.0,94.6,0.0
69,-509.6,-533.8,32,45,317,6.1,213.7,34.7,2.9,11.7,92,2,0,18,73.8,50.3,0.0
70,-1583.5,-662.3,38,38,66,22.1,41.3,23.8,20.4,8.0,28,1,0,10,70.0,77.2,0.0
71,1470.3,1532.8,29,24,250,24.6,323.5,11.2,20.3,30.6,9,4,2,14,86.1,33.9,0.0
72,-1548.2,1159.6,29,26,79,8.8,83.3,8.3,29.2,31.9,70,5,2,13,41.8,97.6,0.0
73,-322.2,1426.8,39,21,9,16.0,24.3,19.2,11.9,33.4,1,2,1,21,46.3,56.8,0.0
74,-1306.0,1311.6,33,34,10,13.8,143.4,2.3,31.8,24.5,29,5,0,11,45.7,38.3,0.0
75,-129.5,1318.8,9,12,108,11.9,351.7,6.3,9.1,8.8,100,1,0,26,76.2,68.7,3253.9
76,-573.6,-1899.7,35,8,59,13.9,8.1,28.7,34.8,16.4,40,2,0,28,30.8,50.2,0.0
77,-24.7,362.4,37,4,177,16.4,346.6,38.8,15.3,6.9,3,1,0,5,93.8,63.6,0.0
78,-231.9,289.1,15,22,334,7.3,211.8,27.4,16.5,5.3,62,4,1,31,50.1,85.7,0.2
79,697.1,-1371.7,30,28,108,24.8,152.8,36.4,37.1,13.7,69,2,1,39,32.2,70.8,0.0
80,-782.1,-628.1,1,9,335,30.8,180.1,13.3,7.3,8.2,21,5,0,32,65.7,91.3,0.2
81,-885.3,1078.8,11,20,169,2.6,80.4,14.2,30.4,26.8,67,4,0,8,42.0,80.2,0.2
82,-1159.8,-1589.4,28,18,291,9.4,76.3,29.7,39.6,34.7,38,5,1,3,70.1,60.4,0.0
83,1816.6,-1901.1,6,9,221,14.0,0.3,32.5,16.4,37.1,36,5,2,2,80.9,89.2,0.0
84,-1420.3,1047.3,1,42,265,13.1,333.9,18.1,32.2,20.7,99,2,0,17,35.4,46.6,0.2
85,809.0,-1054.1,33,45,2,1.5,101.4,16.3,11.9,29.5,45,5,1,4,36.4,65.8,0.0
86,-307.9,-1220.7,30,40,269,17.3,330.2,22.5,5.1,31.0,41,0,0,34,31.6,98.5,0.0
87,868.7,1539.8,8,31,197,2.8,200.1,32.8,22.5,16.8,83,5,1,11,38.3,75.1,0.2
88,127.7,289.3,1,42,28,25.7,175.1,20.0,3.0,13.7,96,2,0,35,68.6,33.8,0.2
89,172.8,772.0,20,41,313,19.8,81.4,5.6,20.4,31.8,34,3,0,13,61.9,83.3,0.0
90,1449.9,-700.8,19,28,215,2.5,123.9,2.2,2.2,15.4,16,1,0,19,34.6,57.2,0.0
91,1402.8,-3.5,28,31,298,15.7,0.8,2.8,29.5,7.3,81,0,0,29,81.6,83.7,0.0
92,-474.8,647.5,18,10,81,17.9,198.8,36.8,19.3,8.7,2,0,0,24,46.0,64.8,0.0
93,140.5,1605.0,38,10,111,21.1,67.7,4.8,12.4,21.5,49,5,1,35,56.3,68.3,0.0
94,-1209.1,985.8,32,20,7,11.7,83.2,32.1,25.4,15.2,63,1,0,28,40.2,62.7,0.0
95,1051.8,-478.3,40,11,308,0.9,161.8,13.4,35.0,19.6,91,2,0,10,58.5,50.6,0.0
96,979.6,-752.2,33,0,240,15.5,127.0,24.1,5.6,2.3,29,1,0,25,75.9,84.1,0.0
97,539.4,-811.5,28,2,159,27.4,25.7,2.0,6.3,11.5,96,2,1,34,66.8,91.2,0.0
98,-127.6,-557.2,19,15,227,14.0,147.8,32.7,17.5,3.4,58,2,0,36,57.4,64.6,0.0
99,-448.6,1189.6,30,34,278,10.1,173.1,19.6,37.1,8.3,57,5,1,27,32.3,43.1,0.0
100,-850.2,-210.3,6,20,11,23.8,268.7,34.7,6.9,14.8,43,5,2,8,94.6,49.6,0.2
101,-945.7,-1255.7,14,14,191,8.6,112.9,28.9,7.3,13.9,80,3,1,22,85.0,80.0,0.2
102,769.7,291.1,28,21,139,12.8,200.9,24.4,6.8,15.8,28,3,0,40,65.0,77.6,0.0
103,1652.7,1614.6,18,36,322,10.4,259.3,20.2,33.3,13.9,17,4,1,26,45.5,77.3,0.0
104,1135.4,-776.1,26,5,283,24.8,267.8,7.7,5.9,34.2,48,3,2,18,36.4,84.2,0.0
105,160.1,1309.6,12,28,107,22.7,330.2,24.5,38.4,25.1,2,4,0,17,90.3,85.1,0.2
106,1053.0,-1909.6,10,19,294,17.3,58.6,37.8,13.6,7.0,89,5,1,25,88.2,69.3,0.0
107,-795.5,-451.7,1,25,285,22.4,0.6,3.1,33.4,7.8,12,2,1,23,31.1,50.0,3419.5
108,1119.0,-417.8,24,29,182,14.5,98.6,27.5,25.8,7.6,48,4,1,16,37.8,33.7,0.0
109,-1007.9,-409.8,35,24,237,3.4,150.1,36.6,2.7,15.5,84,3,2,33,42.6,41.2,0.0
110,1540.8,-1842.8,33,43,171,4.3,34.6,19.1,30.6,17.3,87,4,1,39,37.0,87.2,0.0
111,314.8,-1498.1,12,21,80,11.1,124.3,16.4,22.4,33.0,85,5,2,8,35.4,50.1,908.0
112,1619.2,297.7,15,36,144,30.8,141.7,31.2,27.5,36.4,6,2,1,13,97.1,83.9,0.2
113,-1069.7,-1071.3,19,17,231,20.9,209.9,15.1,38.2,2.2,25,4,2,37,75.9,65.7,0.0
114,328.8,-1630.9,38,23,256,3.8,352.1,33.6,26.9,19.6,91,0,0,28,85.4,68.8,0.0
115,-1229.3,-145.7,23,8,88,23.3,309.5,13.0,15.8,19.9,98,4,1,40,98.5,73.5,0.0
116,-565.6,1537.4,16,34,5,29.7,212.3,27.4,2.6,31.0,16,4,1,17,55.2,71.5,0.0
117,-938.2,-782.0,14,14,175,1.8,201.4,20.4,29.1,9.7,100,3,1,33,37.7,97.4,114.3
118,493.1,-1425.7,17,45,134,15.0,330.2,28.9,31.9,13.0,77,4,0,31,81.9,53.4,0.0
119,1664.8,1130.5,28,35,158,2.0,213.5,9.0,15.4,29.2,70,0,0,10,79.3,47.0,0.0
120,-1068.1,746.6,26,18,44,2.9,15.0,27.3,30.9,22.4,97,3,0,25,66.1,52.7,0.0
121,-1902.7,-931.5,36,3,225,11.4,291.0,12.1,6.9,25.0,68,1,0,2,44.0,59.4,0.0
122,313.3,104.0,12,22,314,4.0,207.7,30.9,10.4,12.4,20,3,0,25,78.1,45.3,0.2
123,254.0,651.8,31,28,19,23.0,96.6,25.3,30.9,39.4,61,5,2,33,92.4,56.6,0.0
124,-1503.4,-1583.3,35,43,147,19.3,273.3,17.1,18.6,20.9,60,4,1,24,59.9,48.2,0.0
125,1911.7,1459.5,23,29,15,14.1,300.0,26.1,6.6,5.1,84,4,2,23,33.5,41.3,0.0
126,32.3,531.3,29,16,76,12.7,129.7,10.3,11.1,28.0,53,4,0,6,42.3,67.7,0.0
127,982.8,921.3,10,1,326,24.7,67.0,2.9,12.2,26.4,100,5,0,9,49.6,96.6,0.2
128,-821.7,760.7,15,38,163,28.5,257.5,31.4,5.8,32.6,75,3,0,32,39.6,87.2,0.2
129,1721.7,-275.8,17,45,174,12.4,260.4,13.0,35.3,4.9,34,3,2,5,31.3,69.5,0.0
130,-1238.2,1730.1,4,20,110,5.6,287.5,36.0,14.9,23.7,38,0,0,29,71.4,68.0,0.2
131,-500.3,1300.4,2,20,213,11.9,47.6,39.9,39.9,17.2,96,3,0,16,75.2,40.2,0.2
132,285.1,360.0,38,32,68,22.5,237.3,19.7,39.7,10.8,71,4,1,25,99.4,62.2,0.0
133,1404.1,795.7,30,27,243,10.2,266.8,13.2,7.1,16.4,65,4,2,9,48.6,91.2,0.0
134,-1098.2,164.9,38,28,160,21.6,293.1,11.0,30.1,12.4,71,4,0,15,70.6,45.8,0.0
135,1546.8,1864.7,6,43,53,13.7,241.3,25.4,21.0,33.3,84,3,2,32,79.5,43.2,0.0
136,-17.6,-340.3,13,1,338,14.9,274.6,16.0,23.1,36.4,84,3,1,33,35.0,78.8,897.8
137,1174.7,853.0,11,6,208,6.7,211.6,26.2,14.8,4.4,26,1,0,9,51.7,34.9,0.2
138,-1571.4,1300.5,6,42,100,25.6,187.7,17.6,4.1,18.6,96,4,2,40,94.3,36.9,141.7
139,-1619.2,884.3,17,19,202,29.2,153.3,29.4,13.0,17.9,51,0,0,11,41.7,45.9,0.0
140,-1829.7,-625.0,27,35,353,16.3,253.3,10.1,13.5,37.1,93,5,1,20,52.9,41.7,0.0
141,612.7,215.2,11,17,15,16.8,208.5,22.0,25.6,32.5,11,4,2,22,70.4,90.9,0.2
142,536.9,-1803.2,39,3,304,1.9,26.1,13.4,4.8,33.7,29,5,1,2,56.3,44.0,0.0
143,476.7,1396.8,14,27,164,7.6,114.4,22.5,16.7,3.7,65,4,1,5,42.9,31.7,79.4
144,1787.3,84.5,39,33,146,25.3,291.3,12.7,2.8,3.8,94,4,1,11,95.6,53.6,0.0
145,-98.8,-802.8,34,11,110,3.5,28.1,5.5,25.6,10.7,6,2,0,23,54.3,83.8,0.0
146,-1711.3,1167.6,21,7,254,3.6,37.8,19.4,8.9,23.7,7,4,0,9,60.0,68.4,0.0
147,-750.7,345.0,32,4,75,9.4,117.5,30.1,30.6,35.2,9,3,1,39,42.2,55.3,0.0
148,1702.4,-1318.0,34,30,102,8.7,141.0,17.6,24.1,10.2,12,3,0,9,76.9,45.0,0.0
149,-524.4,1469.1,26,8,76,17.8,95.0,38.6,16.8,34.3,18,5,1,10,93.2,81.5,0.0
150,-407.3,-1554.5,31,33,162,24.8,214.0,24.1,39.2,25.7,33,1,0,23,68.2,37.1,0.0
151,-1794.2,-103.6,20,34,93,24.4,147.6,35.0,6.1,10.8,79,5,0,11,81.1,66.2,0.0
152,-482.0,51.2,19,4,13,20.0,201.5,9.2,16.9,22.4,33,2,0,34,37.7,65.8,0.0
153,-485.1,733.2,9,41,324,6.5,135.8,4.6,23.4,22.1,46,4,2,24,67.2,97.0,805.5
154,-1753.9,218.3,29,24,33,3.7,298.9,10.7,30.5,11.3,100,2,1,10,70.1,32.3,0.0
155,702.6,50.5,15,22,168,27.4,43.2,6.9,11.1,17.9,40,1,0,30,40.2,63.4,0.4
156,3.7,-1059.2,27,16,0,1.5,329.7,36.1,3.2,33.5,38,3,2,5,53.4,84.2,0.0
157,1318.8,1894.8,16,31,51,7.3,284.7,21.7,29.8,11.5,91,5,0,5,69.4,79.7,0.0
158,242.3,-1376.1,22,13,337,30.1,237.1,26.4,24.1,22.1,13,2,1,20,54.2,74.1,0.0
159,-1726.3,-244.9,7,44,320,17.2,213.0,2.6,27.4,26.4,62,5,1,5,56.1,85.0,0.4
160,-398.3,256.5,1,14,329,16.4,167.2,21.9,28.3,28.5,98,5,2,13,54.8,77.5,0.2
161,-1200.2,-1624.9,1,34,218,14.1,191.7,36.0,28.9,30.4,11,5,1,23,44.3,80.8,0.2
162,1091.3,-1826.5,30,37,100,17.0,54.4,7.7,20.9,4.9,25,2,1,9,73.6,78.5,0.0
163,1720.5,-1588.7,2,2,95,6.3,127.7,39.8,38.9,18.4,8,2,0,9,76.1,40.7,0.2
164,1904.7,-1214.0,4,28,176,10.1,198.2,19.3,26.8,28.2,52,5,2,10,49.8,44.6,0.0
165,1246.1,1751.1,30,22,224,27.9,190.9,17.5,34.2,23.1,93,1,0,2,53.9,79.1,0.0
166,-1513.4,-404.5,31,44,197,4.6,186.6,28.0,23.7,19.1,25,2,0,12,62.5,31.0,0.0
167,-1208.0,-713.1,8,39,256,13.7,169.1,14.8,3.9,29.3,25,3,1,21,39.2,62.9,199.9
168,90.2,1759.5,5,26,138,17.7,255.6,21.3,5.4,3.4,24,2,1,15,39.5,42.3,0.2
169,461.4,1369.7,17,2,138,28.3,268.5,7.3,28.2,8.4,73,0,0,18,90.7,91.7,0.0
170,481.8,774.0,14,36,128,1.3,340.2,25.6,8.1,30.0,73,5,0,37,40.9,71.0,0.2
171,53.0,1807.4,20,32,129,1.0,212.6,37.0,39.0,26.6,97,0,0,32,81.5,46.2,0.0
172,-1215.6,786.7,25,26,210,7.3,88.1,11.8,11.2,6.0,86,5,0,12,72.8,66.7,0.0
173,-817.9,-998.0,27,13,197,24.5,20.5,28.4,2.0,27.4,60,2,1,1,98.8,52.7,0.0
174,-961.5,-274.9,35,34,128,20.9,174.4,20.1,31.4,16.6,40,1,0,27,61.5,36.1,0.0
175,822.9,1558.7,40,0,357,19.0,347.2,18.4,16.3,28.7,87,4,1,6,69.8,46.4,0.0
176,472.0,33.2,29,25,268,6.4,89.4,32.2,38.2,11.3,14,2,0,2,69.8,82.5,0.0
177,777.6,-428.0,10,29,137,10.2,338.7,30.1,19.7,16.0,23,2,0,38,56.8,50.2,0.2
178,-183.5,-1647.8,2,27,196,26.1,266.4,15.1,38.5,33.3,15,1,0,8,48.7,82.5,0.2
179,1179.3,428.2,19,21,100,29.7,10.9,15.6,13.6,26.9,26,5,0,21,64.9,44.2,0.0
180,1860.3,-653.2,24,37,334,11.0,103.1,3.8,2.1,6.2,35,0,0,4,73.4,56.4,0.0
181,1048.2,-1611.7,15,12,285,8.5,81.2,12.0,24.7,39.6,3,0,0,18,84.0,70.0,727.0
182,-810.4,-299.4,3,28,275,6.0,91.4,32.2,38.7,26.9,82,2,0,16,77.7,87.3,0.2
183,-461.6,972.9,15,27,345,27.3,334.5,27.2,36.5,2.1,76,3,0,23,90.8,67.5,0.2
184,-1216.6,-1168.5,9,6,291,10.6,241.3,21.0,28.7,33.9,9,1,0,32,36.8,96.2,164.3
185,-1628.6,888.8,12,26,20,11.4,217.8,13.7,6.2,15.6,98,3,0,22,65.5,42.4,749.9
186,-113.3,1881.3,15,38,3,20.0,51.8,8.6,4.8,16.2,46,2,1,17,35.2,97.6,1233.8
187,243.8,385.6,30,36,6,2.8,340.7,18.0,32.2,9.3,92,5,2,10,67.8,63.1,0.0
188,1793.9,1893.6,21,13,182,16.0,323.9,10.1,27.7,25.0,52,5,0,9,86.0,58.4,0.0
189,860.0,968.3,1,36,309,10.5,351.9,10.8,28.3,19.4,26,4,1,14,90.4,51.2,2325.1
190,1880.0,-1854.6,25,15,157,23.9,308.8,27.5,13.1,6.3,45,1,0,39,59.9,65.5,0.0
191,-1199.0,88.4,34,33,21,12.5,9.5,6.0,11.1,12.6,36,1,0,36,90.9,78.2,0.0
192,1702.9,449.8,21,17,44,3.7,285.0,19.8,19.4,5.2,26,0,0,7,37.2,31.0,0.0
193,-1060.1,-341.3,18,12,340,18.9,150.7,29.2,5.8,6.6,13,1,0,3,84.9,35.9,0.0
194,113.2,-1549.6,22,27,246,14.3,234.0,34.1,19.4,7.3,31,3,2,30,33.9,42.8,0.0
195,1112.7,1136.2,29,40,161,17.2,7.4,38.7,28.9,19.5,49,4,0,37,98.8,95.9,0.0
196,1701.8,720.4,1,20,172,25.8,314.3,32.6,4.6,17.6,16,1,0,28,55.3,93.3,0.2
197,-973.4,713.2,31,42,234,11.0,104.3,37.0,29.8,21.5,47,1,0,33,59.1,37.5,0.0
198,-160.3,-531.1,34,18,331,1.7,330.1,37.5,29.7,13.1,33,4,2,19,65.3,83.2,0.0
199,404.8,805.9,34,21,144,25.2,107.5,26.3,21.7,34.7,23,1,0,15,83.0,84.5,0.0
200,-240.5,1520.7,32,29,17,3.4,358.6,37.5,35.3,35.8,90,0,0,2,99.2,32.1,0.0
201,-1133.4,1185.1,6,40,75,22.6,267.0,6.6,14.9,20.6,31,5,0,33,31.5,66.0,3419.5
202,-838.1,313.5,23,43,75,13.2,27.8,37.2,3.3,13.7,2,4,0,18,33.4,69.1,0.0
203,1824.8,234.8,22,19,106,9.8,73.4,17.9,34.7,15.6,80,3,0,35,70.3,84.3,0.0
204,7.7,-1327.1,40,6,338,15.4,308.6,23.9,7.9,27.5,49,1,0,31,30.3,45.8,0.0
205,1917.7,1469.5,9,39,286,21.5,298.0,14.0,7.9,38.9,78,1,0,24,81.2,84.5,0.0
206,333.1,1089.3,35,45,291,11.0,318.4,20.1,27.2,26.1,99,0,0,35,76.4,96.9,0.0
207,1116.0,-1519.3,31,29,173,27.4,286.9,35.7,28.4,10.4,56,5,0,32,60.9,38.2,0.0
208,1019.7,1350.6,5,7,83,16.8,192.9,15.5,6.7,21.3,78,5,1,4,88.7,52.4,175.9
209,-150.5,1166.0,34,28,251,17.9,332.8,31.7,31.2,11.6,98,2,1,17,69.2,91.9,0.0
210,1272.3,-1272.6,6,9,20,6.7,210.0,38.2,18.7,20.6,41,5,1,7,73.1,64.7,0.2
211,692.0,1688.9,40,0,276,3.6,198.0,16.0,17.7,27.4,96,3,0,1,96.8,32.3,0.0
212,-1685.7,1695.8,31,29,96,4.3,353.3,19.0,3.0,8.8,54,3,0,1,59.0,83.4,0.0
213,-84.0,1413.4,21,28,21,12.0,198.4,13.9,5.0,27.0,10,5,1,39,78.6,35.2,0.0
214,218.0,1496.8,13,35,217,27.0,253.2,14.0,26.5,2.7,100,1,0,38,33.3,75.0,662.5
215,897.3,-1127.7,8,10,314,0.4,334.1,34.0,18.6,35.1,48,3,0,11,92.1,41.1,0.2
216,-258.0,1105.6,11,37,255,6.6,65.3,29.3,25.6,15.4,42,4,1,18,54.7,70.5,0.2
217,-1899.9,334.2,16,13,93,11.4,102.3,26.9,25.0,16.1,81,1,0,31,89.6,96.9,0.0
218,-1499.2,1082.1,12,9,46,4.7,327.1,29.2,26.6,5.7,5,0,0,2,77.3,78.6,0.2
219,1332.6,1192.4,35,40,298,24.5,24.1,10.6,3.3,19.6,9,1,0,36,93.5,70.4,0.0
220,696.2,-1203.0,28,15,360,1.2,321.0,18.1,32.4,32.7,73,4,1,22,50.7,69.8,0.0
221,1799.8,-671.4,12,21,323,7.5,235.2,25.4,20.5,25.5,98,0,0,23,89.0,34.5,0.2
222,675.1,-414.1,16,9,174,1.0,97.0,29.1,2.4,29.5,9,0,0,38,44.2,91.0,0.0
223,577.4,518.9,9,21,169,14.0,350.1,18.7,18.9,23.2,52,1,0,11,88.7,48.0,0.2
224,-1620.6,1854.2,30,45,291,15.8,90.8,12.1,25.7,15.9,6,2,1,2,67.2,39.6,0.0
225,286.7,-1677.4,8,2,214,25.3,219.2,28.6,24.5,39.6,38,3,1,28,43.4,56.7,1.1
226,-1777.8,1576.8,6,12,207,12.7,247.0,34.0,20.5,4.8,21,3,1,34,48.2,57.5,0.2
227,1387.4,956.8,2,28,136,9.8,157.1,13.5,23.1,16.8,64,2,1,29,75.0,98.1,476.4
228,-1269.1,596.8,35,33,41,12.0,292.2,18.8,13.7,26.7,90,0,0,20,64.1,54.2,0.0
229,-908.2,-1120.4,6,16,97,27.8,182.7,27.4,8.2,28.0,44,5,1,11,70.0,70.3,0.2
230,672.8,1051.3,22,41,319,21.5,333.6,26.3,4.4,10.6,6,5,1,6,82.9,41.3,0.0
231,-1250.8,189.2,26,9,275,22.6,344.6,9.4,2.8,6.4,70,4,1,40,80.4,67.0,0.0
232,-846.3,713.0,11,43,172,19.1,159.8,14.0,38.5,24.0,58,1,0,19,50.7,32.1,0.2
233,-960.4,128.1,23,28,156,20.9,67.0,21.0,11.3,6.3,5,2,0,7,54.1,44.8,0.0
234,1359.3,-1040.5,9,29,99,28.6,176.6,6.5,37.4,29.4,46,4,1,32,66.1,99.5,2699.2
235,-1229.5,-408.7,19,45,65,14.3,1.2,18.8,19.5,11.0,26,2,1,1,30.2,47.5,0.0
236,-906.2,1125.9,4,5,321,29.6,279.9,2.3,39.1,4.6,67,3,2,14,37.6,69.1,3311.5
237,-533.0,1407.5,25,31,284,2.3,284.2,21.0,24.3,18.7,70,3,2,27,42.3,80.7,0.0
238,-551.3,115.0,33,31,307,26.2,345.0,12.1,19.1,16.5,42,4,1,16,73.0,83.5,0.0
239,1650.0,1646.7,26,15,318,7.4,333.3,21.2,8.3,39.3,21,2,0,31,77.1,65.3,0.0
